county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ACHIM ŞTEFAN-DECEBAL-voturi","ACHIM ŞTEFAN-DECEBAL-mandate-faza-1","ACHIM ŞTEFAN-DECEBAL-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL NAȚIONAL ROMÂN-voturi","PARTIDUL NAȚIONAL ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL ROMÂN-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","ŢUŢUIANU EMIL-voturi","ŢUŢUIANU EMIL-mandate-faza-1","ŢUŢUIANU EMIL-mandate-faza-2","BĂDILA IOAN-voturi","BĂDILA IOAN-mandate-faza-1","BĂDILA IOAN-mandate-faza-2","ŢETCU VALER-voturi","ŢETCU VALER-mandate-faza-1","ŢETCU VALER-mandate-faza-2","CÎMPEAN ADRIAN-SIMION-voturi","CÎMPEAN ADRIAN-SIMION-mandate-faza-1","CÎMPEAN ADRIAN-SIMION-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","DANCIU IONELA-MARIANA-voturi","DANCIU IONELA-MARIANA-mandate-faza-1","DANCIU IONELA-MARIANA-mandate-faza-2","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-mandate-faza-1","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-mandate-faza-2","PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA-voturi","PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA-mandate-faza-1","PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA-mandate-faza-2","FLOREA PAUL-VICTOR-voturi","FLOREA PAUL-VICTOR-mandate-faza-1","FLOREA PAUL-VICTOR-mandate-faza-2","BUMBU NICOLAE-voturi","BUMBU NICOLAE-mandate-faza-1","BUMBU NICOLAE-mandate-faza-2","HEGHEŞ NICOLAE-FLAVIU-voturi","HEGHEŞ NICOLAE-FLAVIU-mandate-faza-1","HEGHEŞ NICOLAE-FLAVIU-mandate-faza-2","BOLOGA PETRU-RĂZVAN-voturi","BOLOGA PETRU-RĂZVAN-mandate-faza-1","BOLOGA PETRU-RĂZVAN-mandate-faza-2","KOPENETZ LORAND-MÁRTON-voturi","KOPENETZ LORAND-MÁRTON-mandate-faza-1","KOPENETZ LORAND-MÁRTON-mandate-faza-2","MÂRZAN SILVIU-voturi","MÂRZAN SILVIU-mandate-faza-1","MÂRZAN SILVIU-mandate-faza-2","CORCHEŞ DOREL-VALER-voturi","CORCHEŞ DOREL-VALER-mandate-faza-1","CORCHEŞ DOREL-VALER-mandate-faza-2","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-mandate-faza-1","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-mandate-faza-2","DARIE TICĂ-voturi","DARIE TICĂ-mandate-faza-1","DARIE TICĂ-mandate-faza-2","FURDUI DORIN-voturi","FURDUI DORIN-mandate-faza-1","FURDUI DORIN-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","STĂNILĂ NICOLAE-voturi","STĂNILĂ NICOLAE-mandate-faza-1","STĂNILĂ NICOLAE-mandate-faza-2","DRĂGHICI DUMITRU-voturi","DRĂGHICI DUMITRU-mandate-faza-1","DRĂGHICI DUMITRU-mandate-faza-2","LAZEA IOSIF-voturi","LAZEA IOSIF-mandate-faza-1","LAZEA IOSIF-mandate-faza-2","CRIŞAN TEODOR-voturi","CRIŞAN TEODOR-mandate-faza-1","CRIŞAN TEODOR-mandate-faza-2","PARTIDUL PHRALIPE AL ROMILOR-voturi","PARTIDUL PHRALIPE AL ROMILOR-mandate-faza-1","PARTIDUL PHRALIPE AL ROMILOR-mandate-faza-2","ZDRÂNCU PETRU-voturi","ZDRÂNCU PETRU-mandate-faza-1","ZDRÂNCU PETRU-mandate-faza-2"
1,ALBA,ALBAC,2130,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:01:48",1657,1546,1,31,79,1051,941,0,31,79,1013,38,1820,769,50,70,81,90,22,0,0,165,1,1,655,7,0,109,1,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"ALMAŞU MARE",2309,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:32:50",1073,996,1,62,14,832,756,0,62,14,808,24,1134,302,40,56,64,85,135,1,1,109,1,0,291,3,0,101,1,0,0,0,0,17,0,0,134,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,ARIEŞENI,2381,2,FINAL,UAT,CL,CL_CE,"2020-10-01 11:50:18",1510,1387,0,54,69,1283,1161,0,54,68,1248,35,1570,287,62,87,99,113,94,0,1,491,4,0,663,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"AVRAM IANCU",2577,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:28:26",1252,1153,1,26,72,875,777,0,26,72,834,41,1345,470,41,58,66,85,34,0,0,70,0,1,359,4,0,35,0,0,0,0,0,53,0,1,81,0,1,0,0,0,47,0,0,1,111,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BERGHIN,2988,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:17:32",1607,1597,0,10,0,703,693,0,10,0,680,23,1766,1062,34,47,54,61,0,0,0,75,1,0,513,8,0,0,0,0,0,0,0,0,0,0,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BISTRA,3039,2,FINAL,UAT,CL,CL_CE,"2020-10-01 15:15:02",3909,3831,1,40,37,2094,2016,1,40,37,2021,72,4236,2143,101,141,161,134,217,1,0,223,1,1,1303,9,1,0,0,0,0,0,0,77,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BLANDIANA,3397,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:43:00",906,770,1,73,62,653,520,0,72,61,629,24,847,194,31,44,50,69,0,0,0,223,3,0,406,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"BUCERDEA GRÂNOASĂ",9026,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:29:49",1819,1779,1,5,34,1170,1130,1,5,34,1103,67,2008,838,55,77,88,100,0,0,0,213,2,0,469,4,1,0,0,0,0,0,0,0,0,0,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BUCIUM,3459,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:24:10",1298,1209,0,35,54,780,691,0,35,54,764,16,1391,611,38,53,61,79,33,0,0,439,5,1,189,2,0,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CÂLNIC,4106,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:00:42",1567,1479,2,58,28,1089,1002,1,58,28,991,98,1623,534,49,69,79,84,13,0,0,200,2,1,276,3,0,188,2,0,0,0,0,0,0,0,171,2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CENADE,3761,1,FINAL,UAT,CL,CL_CE,"2020-09-28 01:41:00",780,746,1,6,27,452,419,0,6,27,440,12,850,398,22,30,35,48,0,0,0,26,0,0,369,7,1,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CERGĂU,3805,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:01:43",1316,1237,5,23,51,945,869,2,23,51,903,42,1402,457,45,63,72,82,107,1,0,136,1,1,549,6,1,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CERU-BĂCĂINŢI,3841,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:04:16",282,214,1,61,6,245,177,1,61,6,239,6,296,51,11,16,19,26,0,0,0,14,0,1,64,2,0,0,0,0,0,0,0,0,0,0,161,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"CETATEA DE BALTĂ",3958,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:16:37",2428,2279,2,67,80,1212,1063,2,67,80,1132,80,2642,1430,56,79,90,83,0,0,0,288,3,1,608,7,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CIUGUD,1071,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:39:40",2680,2517,9,28,126,1823,1668,1,28,126,1772,51,2921,1098,88,124,141,132,27,0,0,195,1,0,1267,9,1,159,1,0,0,0,0,19,0,0,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CIURULEASA,4008,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:54:40",949,870,1,39,39,728,650,0,39,39,689,31,1040,320,34,48,55,68,5,0,0,489,7,0,72,1,0,30,0,0,0,0,0,59,0,1,14,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"CRĂCIUNELU DE JOS",4188,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:36:08",1758,1714,1,17,26,1089,1046,0,17,26,1051,38,1887,798,52,73,84,95,52,0,0,88,0,1,554,5,1,89,0,1,0,0,0,0,0,0,166,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CRICĂU,4142,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:07:15",1775,1666,3,22,84,1238,1136,0,21,81,1197,41,1842,604,59,83,95,103,23,0,0,127,1,0,390,3,1,90,0,1,0,0,0,528,5,0,15,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CUT,9019,2,FINAL,UAT,CL,CL_CE,"2020-10-01 15:30:11",1084,1059,0,13,12,736,711,0,13,12,718,18,1158,422,35,50,57,74,5,0,0,164,2,0,374,5,0,39,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"DAIA ROMÂNĂ",4240,1,FINAL,UAT,CL,CL_CE,"2020-09-28 02:36:24",2560,2548,0,3,9,1506,1494,0,3,9,1464,42,2810,1304,73,102,117,112,0,0,0,181,1,1,1174,10,0,0,0,0,0,0,0,0,0,0,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,DOŞTAT,4268,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:33:32",818,778,0,23,17,555,515,0,23,17,531,24,844,289,26,37,42,59,0,0,0,55,0,1,346,5,1,0,0,0,0,0,0,94,1,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,FĂRĂU,4302,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:11:55",1333,1234,0,43,56,927,828,0,43,56,855,71,1380,454,42,59,68,74,38,0,0,69,0,1,558,7,1,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"GALDA DE JOS",4366,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:24:31",3785,3684,7,56,38,2095,2001,0,56,38,2034,61,4082,1987,101,142,162,137,74,0,0,572,4,0,703,5,0,115,0,0,0,0,0,0,0,0,408,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,GÂRBOVA,4482,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:51:14",1712,1654,6,27,25,1066,1014,0,27,25,1011,55,1826,759,50,70,80,89,0,0,0,412,4,1,489,5,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"GÂRDA DE SUS",4525,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:01:44",1244,1220,1,20,3,910,887,0,20,3,859,51,1441,531,42,60,68,78,160,2,0,147,1,1,374,4,1,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,HOPÂRTA,4703,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:04:05",914,885,0,18,11,544,515,0,18,11,528,16,971,427,26,36,42,58,0,0,0,65,1,0,434,7,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,HOREA,4767,2,FINAL,UAT,CL,CL_CE,"2020-10-01 15:43:39",1623,1544,0,52,27,1209,1130,0,52,27,1159,50,1795,586,57,81,92,98,100,1,0,302,3,0,680,6,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,IGHIU,4927,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:00:29",5730,5633,9,40,48,3132,3043,1,40,48,3023,109,6094,2962,151,211,241,194,104,0,0,558,2,1,1587,8,0,604,3,0,0,0,0,0,0,0,170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,ÎNTREGALDE,4981,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:24:17",545,518,0,23,4,402,375,0,23,4,382,20,558,156,19,26,30,40,0,0,0,21,0,1,160,4,0,16,0,0,0,0,0,49,1,0,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,JIDVEI,5103,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:33:01",4334,4121,1,59,153,2427,2217,0,59,151,2310,117,4633,2206,115,161,184,148,43,0,0,224,1,1,1846,12,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
