precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA U.S.R. PLUS-voturi"
39,VASLUI,"ANEXA BISERICII SF.” MIHAIL ȘI GAVRIL”",485,TODIREŞTI,166413,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:54",246,242,0,4,0,106,102,0,4,0,97,9,300,194,1,22,68,1,2,3
39,VASLUI,"ANEXA LA BISERICA „NAȘTEREA MAICII DOMNULUI” RĂŞCANI",471,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:53:33",241,203,0,30,8,153,115,0,30,8,141,12,300,147,1,19,95,21,1,4
39,VASLUI,"ASOCIATIA AGRICOLA ”CORNI”",125,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:06:44",1114,1104,0,10,0,400,390,0,10,0,368,32,1200,800,43,142,128,11,11,33
39,VASLUI,"BIBLIOTECA ”ELENA CUZA” DIN LOCALITATEA SOLEȘTI",450,SOLEŞTI,165899,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:56:33",939,935,0,2,2,468,464,0,2,2,427,41,1000,532,18,147,181,12,54,15
39,VASLUI,"CĂMIN CULTURAL COZMEȘTI",249,COZMEŞTI,167277,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:31:59",252,248,0,4,0,108,104,0,4,0,99,9,300,192,17,15,60,3,1,3
39,VASLUI,"CĂMIN CULTURAL POIENEŞTI",406,POIENEŞTI,165336,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:01",775,729,0,28,18,445,399,0,28,18,399,46,800,355,25,55,262,9,21,27
39,VASLUI,"CĂMIN CULTURAL POPEŞTI",282,DRAGOMIREŞTI,163486,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:13:50",317,313,0,4,0,162,158,0,4,0,149,13,300,138,90,15,21,4,9,10
39,VASLUI,"CAMIN CULTURAL, SAT VIIȘOARA",504,VIIŞOARA,166707,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:17:33",971,888,0,41,42,584,501,0,41,42,540,44,1000,416,15,71,387,7,45,15
39,VASLUI,"CĂMIN CULTURAL VULTUREŞTI",522,VULTUREŞTI,166985,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:15",845,836,0,7,2,496,487,0,7,2,457,39,900,404,88,77,252,11,13,16
39,VASLUI,"CAMINUL CULTURAL",182,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:29:40",336,328,0,8,0,175,167,0,8,0,166,9,400,225,6,92,19,7,3,39
39,VASLUI,"CĂMINUL CULTURAL BÎRZEŞTI",465,"ŞTEFAN CEL MARE",166057,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:29",1009,996,0,5,8,569,556,0,5,8,540,29,1100,531,7,114,404,2,1,12
39,VASLUI,"CĂMINUL CULTURAL BLĂGEŞTI",205,BLĂGEŞTI,162559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:50",797,789,0,8,0,414,406,0,8,0,368,46,900,486,13,62,215,10,53,15
39,VASLUI,"CĂMINUL CULTURAL BOGDĂNEŞTI",213,BOGDĂNEŞTI,162693,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:03",824,797,0,6,21,387,360,0,6,21,359,28,800,413,55,44,228,6,2,24
39,VASLUI,"CĂMINUL CULTURAL CIOCANI",230,CIOCANI,167268,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:24:05",952,913,0,39,0,561,522,0,39,0,511,50,1000,439,7,186,296,5,10,7
39,VASLUI,"CĂMINUL CULTURAL CRIVESTI",494,TUTOVA,166529,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:33:35",363,357,1,4,1,190,185,0,4,1,175,15,400,210,5,36,120,6,2,6
39,VASLUI,"CĂMINUL CULTURAL DIN SAT ȚIFU",179,BANCA,162194,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 20:20:37",317,309,0,8,0,196,188,0,8,0,172,24,400,204,7,101,20,5,1,38
39,VASLUI,"CĂMINUL CULTURAL DRAGOMIREŞTI",274,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:32",434,430,0,4,0,237,233,0,4,0,212,25,500,263,111,22,24,2,4,49
39,VASLUI,"CĂMINUL CULTURAL, DRAXENI",437,REBRICEA,165719,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:53:46",674,669,0,5,0,388,383,0,5,0,321,67,700,312,5,94,196,15,3,8
39,VASLUI,"CĂMINUL CULTURAL FĂLCIU",299,FĂLCIU,163832,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:04:20",1057,1043,0,12,2,559,545,0,12,2,497,62,1100,541,19,230,177,7,32,32
39,VASLUI,"CĂMINUL CULTURAL, GHERGHEŞTI",318,GHERGHEŞTI,163967,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:33",928,914,0,7,7,456,442,0,7,7,419,37,1000,544,11,93,293,11,2,9
39,VASLUI,"CĂMINUL CULTURAL GÎRCENI",312,GÂRCENI,164062,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:50:12",705,669,0,3,33,345,313,0,3,29,315,30,700,355,7,34,207,46,16,5
39,VASLUI,"CĂMINUL CULTURAL IBĂNEŞTI",337,IBĂNEŞTI,167222,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:28",535,500,0,1,34,321,286,0,1,34,303,18,600,279,12,92,189,2,2,6
39,VASLUI,"CĂMINUL CULTURAL MUNTENII DE SUS",376,"MUNTENII DE SUS",167302,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:33:00",1226,1224,0,2,0,473,471,0,2,0,418,55,1400,927,16,145,223,6,9,19
39,VASLUI,"CĂMINUL CULTURAL REDIU-GALIAN",235,CODĂEŞTI,163002,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:18:20",459,459,0,0,0,225,225,0,0,0,193,32,600,375,4,126,35,3,11,14
39,VASLUI,"CĂMINUL CULTURAL, ŞTEFAN CEL MARE",464,"ŞTEFAN CEL MARE",166057,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:22",594,585,0,2,7,338,329,0,2,7,324,14,600,262,9,52,245,4,4,10
39,VASLUI,"CĂMINUL CULTURAL TĂCUTA",474,TĂCUTA,166235,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:59:05",681,678,0,0,3,366,363,0,0,3,325,41,700,334,14,117,82,6,17,89
39,VASLUI,"CĂMINUL CULTURAL TĂTĂRĂNI",480,TĂTĂRANI,166315,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 20:06:49",600,585,0,7,8,289,274,0,7,8,238,51,600,311,19,106,68,13,13,19
39,VASLUI,"CĂMINUL CULTURAL TUTOVA",492,TUTOVA,166529,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:49",1121,1102,2,7,10,560,543,0,7,10,519,41,1200,640,41,175,241,21,8,33
39,VASLUI,"CĂMINUL CULTURAL ” VASILE FOLESCU” CREŢEŞTI",251,CREŢEŞTI,163208,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:18",499,470,0,12,17,289,260,0,12,17,265,24,500,211,28,121,92,15,7,2
39,VASLUI,"CĂMINUL CULTURAL ”VIRGIL CARAIVAN” ŞULETEA",468,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:01:45",962,902,0,35,25,623,563,0,35,25,572,51,1000,377,37,141,242,96,25,31
39,VASLUI,"CĂMINUL CULTURAL ZĂPODENI",528,ZĂPODENI,167071,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:07:46",1207,1154,1,8,44,700,656,0,8,36,662,38,1200,500,11,260,351,7,10,23
39,VASLUI,"CASA DE CULTURĂ",153,"ORAŞ NEGREŞTI",161856,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:07",1573,1563,0,7,3,627,617,0,7,3,596,31,1600,973,9,316,146,25,50,50
39,VASLUI,"CASA DE CULTURĂ",154,"ORAŞ NEGREŞTI",161856,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:24:53",1499,1487,0,9,3,612,600,0,9,3,569,43,1600,988,25,324,114,14,40,52
39,VASLUI,"CASA DE CULTURA ”ALEXANDRU GIUGARU”",134,"MUNICIPIUL HUŞI",161829,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 22:23:48",1665,1655,0,10,0,364,354,0,10,0,352,12,1200,836,28,116,158,10,17,23
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",1,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:35",1470,1464,0,6,0,560,554,0,6,0,546,14,1600,1040,23,192,197,24,30,80
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",2,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:33:52",1624,1613,3,7,1,418,410,0,7,1,401,17,2000,1582,21,127,154,4,23,72
39,VASLUI,"CASA DE CULTURA MURGENI",145,"ORAŞ MURGENI",164981,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:43:37",1757,1736,0,17,4,738,717,0,17,4,644,94,1800,1062,176,200,163,8,72,25
39,VASLUI,"CENTRU DE ZI PENTRU COPII BUHĂIEŞTI",523,VULTUREŞTI,166985,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:58",620,610,0,8,2,360,350,0,8,2,325,35,700,340,111,119,45,34,3,13
39,VASLUI,"CENTRUL CONSULTATIV HUȘI",127,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 21:39:26",1671,1643,1,9,18,571,544,0,9,18,544,27,2000,1429,40,183,252,12,14,43
39,VASLUI,"CENTRUL CULTURAL BĂLTENI",196,BĂLTENI,162452,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:22",794,791,0,3,0,412,409,0,3,0,389,23,800,388,7,77,271,4,6,24
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”, FEREŞTI",305,FEREŞTI,167295,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:21:27",1719,1671,0,15,33,937,889,0,15,33,860,77,1800,863,28,383,411,13,16,9
39,VASLUI,"CENTRUL CULTURAL ”ȘTEFAN CIOBOTĂRAȘU” SAT LIPOVAȚ",353,LIPOVĂŢ,164687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:28:51",1276,1255,0,8,13,656,635,0,8,13,607,49,1300,644,16,151,393,8,14,25
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",4,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:41:17",1239,1233,0,6,0,8,2,0,6,0,8,0,1400,1392,0,1,4,1,1,1
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",3,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 20:20:08",1486,1477,0,9,0,172,163,0,9,0,164,8,1591,1419,5,50,78,4,18,9
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",24,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:21",1901,1898,0,3,0,140,137,0,3,0,136,4,2000,1860,11,44,47,4,10,20
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",23,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:19:47",1899,1889,0,10,0,606,596,0,10,0,582,24,2000,1394,26,228,182,20,44,82
39,VASLUI,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",25,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:57:20",1757,1753,0,4,0,105,101,0,4,0,101,4,2000,1895,4,37,32,2,3,23
39,VASLUI,"CLUBUL PENSIONARILOR",77,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:03:24",1969,1960,0,9,0,22,13,0,9,0,22,0,2000,1978,2,3,8,2,4,3
39,VASLUI,"CLUBUL PENSIONARILOR",78,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:04:54",1628,1621,0,7,0,15,8,0,7,0,11,4,1800,1785,2,2,4,1,1,1
39,VASLUI,"CLUBUL ”PRIETENIA”",76,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 21:54:28",1584,1576,0,8,0,10,2,0,8,0,10,0,1800,1790,1,2,3,1,1,2
39,VASLUI,"CLUBUL ”PRIETENIA”",75,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 19:54:08",1843,1830,1,10,2,43,31,0,10,2,41,2,2000,1957,1,19,16,2,0,3
39,VASLUI,"COLEGIUL AGRICOL ”DIMITRIE CANTEMIR”",130,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:46",1080,1073,0,7,0,380,373,0,7,0,361,19,1200,820,35,123,158,12,12,21
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",97,"MUNICIPIUL BÂRLAD",161794,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:26:30",1231,1221,3,7,0,381,374,0,7,0,370,11,1400,1019,46,130,126,11,15,42
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",98,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:38",1275,1266,1,8,0,400,392,0,8,0,387,13,1400,1000,45,144,107,6,20,65
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",100,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:42:48",1363,1355,0,8,0,383,375,0,8,0,370,13,1600,1217,30,149,111,14,13,53
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",94,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:41:42",1548,1540,1,7,0,390,383,0,7,0,379,11,1600,1210,32,163,95,5,18,66
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",99,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:10",1353,1348,0,5,0,457,452,0,5,0,437,20,1600,1143,65,169,94,10,20,79
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",95,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:14",1367,1360,0,7,0,439,432,0,7,0,415,24,1600,1161,53,167,114,4,23,54
39,VASLUI,"COLEGIUL ”ALEXANDRU IOAN CUZA”",96,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:45:56",1370,1360,3,6,1,433,426,0,6,1,418,15,1600,1167,47,162,116,10,13,70
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",55,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:43",1802,1797,1,4,0,379,375,0,4,0,366,13,2000,1621,17,134,121,17,24,53
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",56,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:57:03",710,702,0,8,0,245,237,0,8,0,239,6,800,555,9,94,70,17,12,37
39,VASLUI,"COLEGIUL NAȚIONAL ”CUZA VODA”",128,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:43:33",1912,1899,2,11,0,335,324,0,11,0,321,14,2000,1665,25,105,148,8,9,26
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",85,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:08:40",1524,1510,0,14,0,478,464,0,14,0,467,11,1600,1122,35,221,129,9,24,49
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",84,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:05",952,946,0,6,0,357,351,0,6,0,341,16,1200,843,27,161,84,9,12,48
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",86,"MUNICIPIUL BÂRLAD",161794,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:09",981,974,0,7,0,397,390,0,7,0,386,11,1000,603,45,193,67,7,9,65
39,VASLUI,"CONTAINER MODULAR",319,GHERGHEŞTI,163967,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:18",397,394,0,2,1,187,184,0,2,1,168,19,400,213,2,21,131,11,2,1
39,VASLUI,"CONTAINER MODULAR",334,IANA,164339,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:34",775,767,0,7,1,541,533,0,7,1,485,56,800,259,13,148,307,4,5,8
39,VASLUI,"CONTAINER MODULAR",518,VOINEŞTI,166869,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:39:42",160,155,0,5,0,91,86,0,5,0,78,13,200,109,1,18,56,0,2,1
39,VASLUI,"CREȘA FEDEȘTI",469,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:53",532,483,0,20,29,337,288,0,20,29,304,33,500,163,15,46,164,71,1,7
39,VASLUI,"DIRECTIA AGRICOLA JUDETEANA VASLUI - UNITATEA FITOSANITARA HUSI",144,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 21:56:04",1891,1888,0,3,0,552,549,0,3,0,524,28,2000,1448,45,186,233,11,15,34
39,VASLUI,"DISPENSAR UMAN, SAT CHILIENI",238,COROIEŞTI,163057,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:03",203,196,0,7,0,109,102,0,7,0,83,26,200,91,1,9,47,20,0,6
39,VASLUI,"DISPENSAR VETERINAR",169,"ALEXANDRU VLAHUŢĂ",162069,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:19:50",228,211,0,7,10,159,142,0,7,10,125,17,200,58,5,93,13,2,7,5
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV BOBEŞTI",289,DUDA-EPURENI,163681,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:26:36",111,102,0,9,0,59,50,0,9,0,54,5,204,145,6,9,22,2,9,6
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV BOUȘORI",451,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:40:08",206,190,0,5,11,110,97,0,5,8,105,5,300,190,3,35,59,1,6,1
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV, PUŢU OLARULUI",339,IBĂNEŞTI,167222,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:28:11",110,95,0,6,9,79,64,0,6,9,75,4,100,21,2,32,38,0,1,2
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV VALEA SILIȘTEI",456,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:02:35",236,225,0,7,4,131,120,0,7,4,105,26,300,169,2,31,52,12,4,4
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV VULPĂȘENI",189,BĂCANI,162327,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:31:41",168,161,0,7,0,91,84,0,7,0,87,4,200,109,4,44,15,5,5,14
39,VASLUI,"FOSTA ŞCOALA GENERALĂ ARMĂŞENI",228,BUNEŞTI-AVEREŞTI,162924,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:04",275,266,0,7,2,161,152,0,7,2,139,22,300,139,6,34,74,3,10,12
39,VASLUI,"FOSTUL SEDIU AL PRIMĂRIEI HÎRŞOVA",264,DELEŞTI,163379,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:36:26",377,372,0,5,0,200,195,0,5,0,173,27,400,200,5,106,34,7,13,8
39,VASLUI,"FOSTUL SEDIU C.A.P. GRUMEZOAIA (GRĂDINIȚA)",268,"DIMITRIE CANTEMIR",164277,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:13",325,315,0,7,3,189,179,0,7,3,172,17,400,211,11,60,70,5,24,2
39,VASLUI,"GRĂDINIȚA CU 3 SĂLI DE GRUPĂ",369,MICLEŞTI,164892,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:13",779,774,0,2,3,379,374,0,2,3,341,38,800,421,72,119,101,5,12,32
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL",324,GRIVIŢA,164133,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:57:34",1139,1131,1,7,0,535,528,0,7,0,489,46,1200,665,19,217,211,4,13,25
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL",67,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:07:06",1762,1759,0,3,0,609,606,0,3,0,583,26,2000,1391,34,232,176,19,22,100
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL BARBOŞI",327,HOCENI,164197,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:33",564,543,0,4,17,328,307,0,4,17,309,19,600,272,3,139,162,3,1,1
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL GARA ROŞIEŞTI",448,ROŞIEŞTI,165817,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:19",320,316,0,2,2,174,170,0,2,2,164,10,300,126,39,28,62,16,7,12
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL GRIVIŢA",323,GRIVIŢA,164133,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:19:19",1338,1319,1,7,11,667,649,0,7,11,623,44,1400,733,13,397,117,13,29,54
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL, GURA VĂII",462,STĂNILEŞTI,165979,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:14",367,361,0,3,3,196,190,0,3,3,165,31,400,204,8,75,42,4,4,32
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL IAZ",452,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:27",299,294,0,5,0,151,146,0,5,0,130,21,300,149,0,20,105,1,3,1
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.12",41,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:40",1493,1484,0,8,1,431,422,0,8,1,420,11,1600,1169,21,147,156,7,28,61
